patent_id,title,abstract,text
2023-0329413,HAIRCARE APPLIANCE,"A haircare appliance has a heater housing and a heater assembly disposed in the heater housing. The haircare appliance has an airflow generator for generating an airflow through the heater housing, and the airflow generator is disposed in the heater housing. The haircare appliance has a circuitry housing remote from the heater housing, and airflow generator control circuitry is disposed in the circuitry housing. A wire extends from the circuitry housing to the heater housing, and the wire couples the airflow generator control circuitry to the airflow generator.","HAIRCARE APPLIANCE A haircare appliance has a heater housing and a heater assembly disposed in the heater housing. The haircare appliance has an airflow generator for generating an airflow through the heater housing, and the airflow generator is disposed in the heater housing. The haircare appliance has a circuitry housing remote from the heater housing, and airflow generator control circuitry is disposed in the circuitry housing. A wire extends from the circuitry housing to the heater housing, and the wire couples the airflow generator control circuitry to the airflow generator."
2023-0329414,HAIRCARE APPLIANCE,"A haircare appliance has an air inlet, an air outlet, and an airflow generator for generating an airflow from the air inlet to the air outlet. The air outlet has a first aperture having a first cross-sectional area, and a second aperture having a second cross-sectional area greater than the first cross-sectional area. The haircare appliance has a first configuration in which airflow through the second aperture is inhibited, and a second configuration in which airflow through the second aperture is uninhibited.","HAIRCARE APPLIANCE A haircare appliance has an air inlet, an air outlet, and an airflow generator for generating an airflow from the air inlet to the air outlet. The air outlet has a first aperture having a first cross-sectional area, and a second aperture having a second cross-sectional area greater than the first cross-sectional area. The haircare appliance has a first configuration in which airflow through the second aperture is inhibited, and a second configuration in which airflow through the second aperture is uninhibited."
2023-0330285,SELF-CLEANING DOMESTIC APPLIANCE,"A domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, and a compressor configured to compress incoming air received at the inlet and to expel the compressed air through the at least one nozzle. The domestic appliance further includes at least one light source for emitting light in a violet portion of the visual spectrum, the at least one light source being arranged in such a way as to illuminate the at least one nozzle for the decontamination thereof.","SELF-CLEANING DOMESTIC APPLIANCE A domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, and a compressor configured to compress incoming air received at the inlet and to expel the compressed air through the at least one nozzle. The domestic appliance further includes at least one light source for emitting light in a violet portion of the visual spectrum, the at least one light source being arranged in such a way as to illuminate the at least one nozzle for the decontamination thereof."
2023-0330293,SELF-CLEANING VACUUM CLEANER,"A method, and a floor care device are provided for allowing decontaminating parts of a floor care device. The floor care device includes at least one part that is susceptible to contamination when the floor care device is used in a floor care mode. The method may include detecting a transition of the floor care device to a park mode, and in response thereto, executing a decontamination program, the decontamination program including emitting light in a violet portion of the visual spectrum and thereby illuminating the at least one part for the decontamination thereof.","SELF-CLEANING VACUUM CLEANER A method, and a floor care device are provided for allowing decontaminating parts of a floor care device. The floor care device includes at least one part that is susceptible to contamination when the floor care device is used in a floor care mode. The method may include detecting a transition of the floor care device to a park mode, and in response thereto, executing a decontamination program, the decontamination program including emitting light in a violet portion of the visual spectrum and thereby illuminating the at least one part for the decontamination thereof."
2023-0337334,RESISTIVE LIQUID HEATER,"A liquid heater is described including a chamber for receiving a liquid, pairs of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of switches for connecting the pairs of electrodes to the input terminals, and a control unit for controlling the switches. The switches have a plurality of different states for selectively connecting pairs of electrodes to the input terminals in one of a plurality of electrode configurations, the electrodes having a different total electrical resistance in each electrode configuration. When switching between a first electrode configuration and a second electrode configuration having a second lower total electrical resistance, the control unit controls the switches such that switching between the electrode configurations occurs in response to zero-crossings in a voltage of the power supply or the electrodes of the second electrode configuration are energised with a voltage having a higher duty than the electrodes of the first electrode configuration.","RESISTIVE LIQUID HEATER A liquid heater is described including a chamber for receiving a liquid, pairs of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of switches for connecting the pairs of electrodes to the input terminals, and a control unit for controlling the switches. The switches have a plurality of different states for selectively connecting pairs of electrodes to the input terminals in one of a plurality of electrode configurations, the electrodes having a different total electrical resistance in each electrode configuration. When switching between a first electrode configuration and a second electrode configuration having a second lower total electrical resistance, the control unit controls the switches such that switching between the electrode configurations occurs in response to zero-crossings in a voltage of the power supply or the electrodes of the second electrode configuration are energised with a voltage having a higher duty than the electrodes of the first electrode configuration."
2023-0321290,SELF-CLEANING DOMESTIC APPLIANCE,"A docking station is provided for holding at least a part of a domestic appliance and for decontaminating the at least one nozzle thereof. The domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, and a compressor configured to compress incoming air received at the inlet and to expel the compressed air through the at least one nozzle. The domestic appliance further includes at least one light source for emitting light in a violet portion of the visual spectrum, the at least one light source being arranged in such a way as to illuminate the at least one nozzle for the decontamination thereof.","SELF-CLEANING DOMESTIC APPLIANCE A docking station is provided for holding at least a part of a domestic appliance and for decontaminating the at least one nozzle thereof. The domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, and a compressor configured to compress incoming air received at the inlet and to expel the compressed air through the at least one nozzle. The domestic appliance further includes at least one light source for emitting light in a violet portion of the visual spectrum, the at least one light source being arranged in such a way as to illuminate the at least one nozzle for the decontamination thereof."
2023-0327587,METHOD OF DETERMINING A POSITION OF A ROTOR OF A BRUSHLESS PERMANENT MAGNET MOTOR,"A method of determining a position of a rotor of a brushless permanent magnet motor includes measuring a current value indicative of current flowing through a phase winding of the motor and providing a reference voltage value indicative of a voltage applied to the phase winding of the motor. The method includes calculating a phase of back EMF induced in the phase winding using the measured current value and the reference voltage value, and determining a zero-crossing point of the back EMF induced in the phase winding using the calculated phase of back EMF induced in the phase winding. The method includes generating a rotor position signal based on the determined zero-crossing point.","METHOD OF DETERMINING A POSITION OF A ROTOR OF A BRUSHLESS PERMANENT MAGNET MOTOR A method of determining a position of a rotor of a brushless permanent magnet motor includes measuring a current value indicative of current flowing through a phase winding of the motor and providing a reference voltage value indicative of a voltage applied to the phase winding of the motor. The method includes calculating a phase of back EMF induced in the phase winding using the measured current value and the reference voltage value, and determining a zero-crossing point of the back EMF induced in the phase winding using the calculated phase of back EMF induced in the phase winding. The method includes generating a rotor position signal based on the determined zero-crossing point."
2023-0309674,HAIRSTYLING DEVICE,"A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to a tress of hair of a user via the hair-contactable surface. The hairstyling device includes a controller configured to determine that the hair contact member is moving along the tress from a first end of the tress towards a second end of the tress. The controller is configured to, based on the determining, control heating of the hair contact member to cause the operating temperature of the hair contact member to change as the hair contact member moves along the tress from the first end of the tress towards the second end of the tress.","HAIRSTYLING DEVICE A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to a tress of hair of a user via the hair-contactable surface. The hairstyling device includes a controller configured to determine that the hair contact member is moving along the tress from a first end of the tress towards a second end of the tress. The controller is configured to, based on the determining, control heating of the hair contact member to cause the operating temperature of the hair contact member to change as the hair contact member moves along the tress from the first end of the tress towards the second end of the tress."
2023-0311054,AIR TREATMENT DEVICE,"There is provided an air-treatment device including an airflow generator for generating an airflow, an adsorbent material for adsorbing one or more airborne contaminants, the adsorbent material being arranged such that at least a portion of the airflow passes through the adsorbent material, a heater arranged to heat a portion of the adsorbent material to desorb adsorbed contaminants, and a photocatalytic reactor arranged to receive air containing the contaminants desorbed from the heated portion of adsorbent material. The photocatalytic reactor includes a photo-catalyst for photocatalytic degradation of one or more of the contaminants, and one or more light sources for illuminating the photo-catalyst to facilitate photocatalytic degradation. The air-treatment device is arranged such that at least a portion of the airflow that has not passed through the heated portion of the adsorbent material contacts the one or more light sources.","AIR TREATMENT DEVICE There is provided an air-treatment device including an airflow generator for generating an airflow, an adsorbent material for adsorbing one or more airborne contaminants, the adsorbent material being arranged such that at least a portion of the airflow passes through the adsorbent material, a heater arranged to heat a portion of the adsorbent material to desorb adsorbed contaminants, and a photocatalytic reactor arranged to receive air containing the contaminants desorbed from the heated portion of adsorbent material. The photocatalytic reactor includes a photo-catalyst for photocatalytic degradation of one or more of the contaminants, and one or more light sources for illuminating the photo-catalyst to facilitate photocatalytic degradation. The air-treatment device is arranged such that at least a portion of the airflow that has not passed through the heated portion of the adsorbent material contacts the one or more light sources."
2023-0304141,"METHOD OF FORMING A CATHODE LAYER, METHOD OF FORMING A BATTERY HALF CELL","A method of forming a layer of a cathode is provided. The method includes generating a plasma remote from one or more sputter targets, sputtering material from the target or targets using the plasma, and depositing the sputtered material on the substrate to which a bias voltage has been applied, thereby forming the layer of cathode.","METHOD OF FORMING A CATHODE LAYER, METHOD OF FORMING A BATTERY HALF CELL A method of forming a layer of a cathode is provided. The method includes generating a plasma remote from one or more sputter targets, sputtering material from the target or targets using the plasma, and depositing the sputtered material on the substrate to which a bias voltage has been applied, thereby forming the layer of cathode."
2023-0306705,METHOD AND APPARATUS FOR PROVIDING FEEDBACK TO A USER INPUT,"A computer implemented method for providing feedback to a user input. The method includes obtaining data representing a scene model derived from scene data representing a scene in real space; obtaining data representing a user input identifying a first portion of the scene in real space; estimating, based on the user input data, a first position within the scene model corresponding to the first portion of the scene; determining control information for controlling a light source to direct light at or near a second position in real space corresponding to the first position within the scene model; and outputting the control information to control a light source, thereby to provide for feedback to the user input. The method may be implemented by a robot.","METHOD AND APPARATUS FOR PROVIDING FEEDBACK TO A USER INPUT A computer implemented method for providing feedback to a user input. The method includes obtaining data representing a scene model derived from scene data representing a scene in real space; obtaining data representing a user input identifying a first portion of the scene in real space; estimating, based on the user input data, a first position within the scene model corresponding to the first portion of the scene; determining control information for controlling a light source to direct light at or near a second position in real space corresponding to the first position within the scene model; and outputting the control information to control a light source, thereby to provide for feedback to the user input. The method may be implemented by a robot."
2023-0292901,HAIRSTYLING DEVICE,"A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to hair via the hair-contactable surface. The hairstyling device includes a controller configured to monitor power draw associated with heating of the hair contact member during heating of hair of a user via the hair-contactable surface. Based on the monitored power draw, one or more hair damage parameters indicative of damage of the heated hair are calculated. The controller is configured to control the hairstyling device based on the one or more calculated hair damage parameters.","HAIRSTYLING DEVICE A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to hair via the hair-contactable surface. The hairstyling device includes a controller configured to monitor power draw associated with heating of the hair contact member during heating of hair of a user via the hair-contactable surface. Based on the monitored power draw, one or more hair damage parameters indicative of damage of the heated hair are calculated. The controller is configured to control the hairstyling device based on the one or more calculated hair damage parameters."
2023-0292902,HAIRSTYLING DEVICE,"A cordless hairstyling device, a method of operating the hairstyling device, and a computer program comprising a set of instructions, which, when executed causes a computerized device to perform the method is provided. The device includes a heatable hair contact member having a hair contact-able surface, the hair contact member being operable to apply heat to a tress of hair of a user via the hair contactable surface, at least one sensor configured to sense a change in state of the device from a first stationary state to a second moving state, and a controller configured to, in response to the at least one sensor sensing a change in state from the first state to the second state, cause the hair contact member to heat to a pre-determined operating temperature by a pre-determined amount of time after the detected state change.","HAIRSTYLING DEVICE A cordless hairstyling device, a method of operating the hairstyling device, and a computer program comprising a set of instructions, which, when executed causes a computerized device to perform the method is provided. The device includes a heatable hair contact member having a hair contact-able surface, the hair contact member being operable to apply heat to a tress of hair of a user via the hair contactable surface, at least one sensor configured to sense a change in state of the device from a first stationary state to a second moving state, and a controller configured to, in response to the at least one sensor sensing a change in state from the first state to the second state, cause the hair contact member to heat to a pre-determined operating temperature by a pre-determined amount of time after the detected state change."
2023-0292903,HAIRSTYLING DEVICE,"A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to hair via the hair-contactable surface. The hairstyling device includes an inertial measurement unit, IMU, configured to output signals dependent on movement of the hair contact member. The hairstyling device includes a controller configured to receive a signal from the IMU indicating movement of the hair contact member along a tress of hair between a first end of the tress and a second end of the tress, process the received signal to determine a speed of the hair contact member, and control heating of the hair contact member based on the determined speed.","HAIRSTYLING DEVICE A hairstyling device is provided. The hairstyling device includes a heatable hair contact member having a hair-contactable surface, the hair contact member being operable to apply heat to hair via the hair-contactable surface. The hairstyling device includes an inertial measurement unit, IMU, configured to output signals dependent on movement of the hair contact member. The hairstyling device includes a controller configured to receive a signal from the IMU indicating movement of the hair contact member along a tress of hair between a first end of the tress and a second end of the tress, process the received signal to determine a speed of the hair contact member, and control heating of the hair contact member based on the determined speed."
2023-0291044,SOLID STATE THIN FILM BATTERY AND METHOD OF MANUFACTURE,"A solid state thin film battery including a plurality of solid state cells and a termination region is disclosed. Each cell is connected to the termination region by a current collector which includes a deformation element configured to deform under a lower load than the rest of the current collector. The properties, for example the geometry and/or materials of the portion of the current collector that forms the deformation element, may differ with respect to the properties of the rest of the current collector. Methods of manufacturing and operating such a battery are also disclosed.","SOLID STATE THIN FILM BATTERY AND METHOD OF MANUFACTURE A solid state thin film battery including a plurality of solid state cells and a termination region is disclosed. Each cell is connected to the termination region by a current collector which includes a deformation element configured to deform under a lower load than the rest of the current collector. The properties, for example the geometry and/or materials of the portion of the current collector that forms the deformation element, may differ with respect to the properties of the rest of the current collector. Methods of manufacturing and operating such a battery are also disclosed."
2023-0270222,HAIRSTYLING DEVICE,"A hairstyling device is provided. The hairstyling device is operable to apply heat to hair of a user. The hairstyling device includes sensor equipment configured to generate sensor output dependent on at least one use characteristic of the hairstyling device indicative of current use of the hairstyling device. The hairstyling device includes a controller configured to receive the sensor output from the sensor equipment, process the sensor output to determine one or more hair damage parameters indicative of damage to hair being heated by the hairstyling device, and cause, during heating of the hair by the hairstyling device, a user interface to provide an output dependent on the one or more hair damage parameters.","HAIRSTYLING DEVICE A hairstyling device is provided. The hairstyling device is operable to apply heat to hair of a user. The hairstyling device includes sensor equipment configured to generate sensor output dependent on at least one use characteristic of the hairstyling device indicative of current use of the hairstyling device. The hairstyling device includes a controller configured to receive the sensor output from the sensor equipment, process the sensor output to determine one or more hair damage parameters indicative of damage to hair being heated by the hairstyling device, and cause, during heating of the hair by the hairstyling device, a user interface to provide an output dependent on the one or more hair damage parameters."
2023-0263347,VACUUM CLEANER,"A vacuum cleaner includes: a vacuum motor; one or more time of flight sensors configured to generate first sensor signals dependent on the proximity of an object to the one or more time of flight sensors; a capacitive sensor located in proximity to a handle of the vacuum cleaner and configured to generate second sensor signals dependent on whether a user is gripping the handle; and a controller configured to: process the generated first and second sensor signals to determine whether the vacuum cleaner is actively being used by the user; and in response to determining that the vacuum cleaner is actively being used, activate the vacuum motor.","VACUUM CLEANER A vacuum cleaner includes: a vacuum motor; one or more time of flight sensors configured to generate first sensor signals dependent on the proximity of an object to the one or more time of flight sensors; a capacitive sensor located in proximity to a handle of the vacuum cleaner and configured to generate second sensor signals dependent on whether a user is gripping the handle; and a controller configured to: process the generated first and second sensor signals to determine whether the vacuum cleaner is actively being used by the user; and in response to determining that the vacuum cleaner is actively being used, activate the vacuum motor."
2023-0263354,VACUUM CLEANER,"A vacuum cleaner includes: a vacuum motor; a first sensor configured to generate first sensor signals based on sensed motion and orientation of the vacuum cleaner; a cleaner head comprising an agitator; one or more diagnostic sensors configured to generate second sensor signals based on sensed parameters of the cleaner head; and a controller configured to: process the generated first and second sensor signals to determine whether the vacuum cleaner is actively being used by a user; and in response to determining that the vacuum cleaner is actively being used, activate the vacuum motor.","VACUUM CLEANER A vacuum cleaner includes: a vacuum motor; a first sensor configured to generate first sensor signals based on sensed motion and orientation of the vacuum cleaner; a cleaner head comprising an agitator; one or more diagnostic sensors configured to generate second sensor signals based on sensed parameters of the cleaner head; and a controller configured to: process the generated first and second sensor signals to determine whether the vacuum cleaner is actively being used by a user; and in response to determining that the vacuum cleaner is actively being used, activate the vacuum motor."
2023-0263355,VACUUM CLEANER,"A vacuum cleaner includes: a plurality of sensors configured to generate sensor signals; a vacuum motor; and a controller comprising first and second modules, wherein: the first module is configured to process the generated sensor signals to generate a plurality of control signals; the second module is configured to process the plurality of control signals to generate an output signal indicating that the vacuum cleaner is currently being used; and the vacuum motor is configured to activate or deactivate in dependence on the output signal.","VACUUM CLEANER A vacuum cleaner includes: a plurality of sensors configured to generate sensor signals; a vacuum motor; and a controller comprising first and second modules, wherein: the first module is configured to process the generated sensor signals to generate a plurality of control signals; the second module is configured to process the plurality of control signals to generate an output signal indicating that the vacuum cleaner is currently being used; and the vacuum motor is configured to activate or deactivate in dependence on the output signal."
2023-0266186,TORQUE SENSOR ELEMENT AND TORQUE SENSOR,"A torque sensor element for measuring a torque applied to a joint is described. The torque sensor element includes: an outer frame and an inner frame respectively to connect to first and second sides of a joint; and a compliant arrangement connecting the outer frame to the inner frame. The compliant arrangement includes: first and second members, each extending between and connecting the outer and inner frames, and each being resilient and deformable to permit some relative rotation between the outer and inner frames in response to an applied torque. A connecting structure extends between the first and second members and includes a first portion intermediate the first and second members which is configured responsive to a deformation of the first and/or second member to move by an amount determined by a degree of relative rotation between the outer and inner frames caused by a torque applied to the joint.","TORQUE SENSOR ELEMENT AND TORQUE SENSOR A torque sensor element for measuring a torque applied to a joint is described. The torque sensor element includes: an outer frame and an inner frame respectively to connect to first and second sides of a joint; and a compliant arrangement connecting the outer frame to the inner frame. The compliant arrangement includes: first and second members, each extending between and connecting the outer and inner frames, and each being resilient and deformable to permit some relative rotation between the outer and inner frames in response to an applied torque. A connecting structure extends between the first and second members and includes a first portion intermediate the first and second members which is configured responsive to a deformation of the first and/or second member to move by an amount determined by a degree of relative rotation between the outer and inner frames caused by a torque applied to the joint."
2023-0255421,VACUUM CLEANER,"A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a human-computer interface, HCI; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and control the HCI to provide a recommendation to the user of the vacuum cleaner in dependence on the determined type of cleaning activity.","VACUUM CLEANER A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a human-computer interface, HCI; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and control the HCI to provide a recommendation to the user of the vacuum cleaner in dependence on the determined type of cleaning activity."
2023-0255422,VACUUM CLEANER,A vacuum cleaner includes: a vacuum motor; one or more sensors configured to generate sensor signals associated with the vacuum cleaner; and a controller configured to: process the generated sensor signals using a surface type model defining a mapping between generated sensor signals and surface types to determine a type of surface on which the vacuum cleaner is being operated; control the power of the vacuum motor in dependence on the determined type of surface; and update the surface type model based on the generated sensor signals and/or the determined type of surface.,VACUUM CLEANER A vacuum cleaner includes: a vacuum motor; one or more sensors configured to generate sensor signals associated with the vacuum cleaner; and a controller configured to: process the generated sensor signals using a surface type model defining a mapping between generated sensor signals and surface types to determine a type of surface on which the vacuum cleaner is being operated; control the power of the vacuum motor in dependence on the determined type of surface; and update the surface type model based on the generated sensor signals and/or the determined type of surface.
2023-0255423,VACUUM CLEANER,A vacuum cleaner includes: a vacuum motor; a first sensor configured to generate first sensor signals based on sensed motion and orientation of the vacuum cleaner; a cleaner head comprising an agitator; one or more diagnostic sensors configured to generate second sensor signals based on sensed parameters of the cleaner head; and a controller configured to: process the generated first and second sensor signals to determine a type of surface on which the vacuum cleaner is being operated; and control the power of the vacuum motor in dependence on the determined type of surface.,VACUUM CLEANER A vacuum cleaner includes: a vacuum motor; a first sensor configured to generate first sensor signals based on sensed motion and orientation of the vacuum cleaner; a cleaner head comprising an agitator; one or more diagnostic sensors configured to generate second sensor signals based on sensed parameters of the cleaner head; and a controller configured to: process the generated first and second sensor signals to determine a type of surface on which the vacuum cleaner is being operated; and control the power of the vacuum motor in dependence on the determined type of surface.
2023-0255425,VACUUM CLEANER,"A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and in response to determining that the type of cleaning activity comprises one or more of: spot cleaning, crevice cleaning, and elevated cleaning, increase the power of the vacuum motor.","VACUUM CLEANER A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and in response to determining that the type of cleaning activity comprises one or more of: spot cleaning, crevice cleaning, and elevated cleaning, increase the power of the vacuum motor."
2023-0248197,VACUUM CLEANER,"A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and in response to determining that the type of cleaning activity includes cleaning a surface at least partially obstructed by an object, decrease the power of the vacuum motor.","VACUUM CLEANER A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type of cleaning activity being performed by a user using the vacuum cleaner; and in response to determining that the type of cleaning activity includes cleaning a surface at least partially obstructed by an object, decrease the power of the vacuum motor."
2023-0248198,VACUUM CLEANER,"A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a user input device; a vacuum motor; and a controller configured to: activate the vacuum motor in response to activation of the user input device by a user; in response to activation of the vacuum motor, process the generated sensor signals to determine whether the vacuum cleaner is actively being used by the user; and in response to determining that the vacuum cleaner is actively being used, retain the vacuum motor in an activated state.","VACUUM CLEANER A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a user input device; a vacuum motor; and a controller configured to: activate the vacuum motor in response to activation of the user input device by a user; in response to activation of the vacuum motor, process the generated sensor signals to determine whether the vacuum cleaner is actively being used by the user; and in response to determining that the vacuum cleaner is actively being used, retain the vacuum motor in an activated state."
2023-0243552,RESISTIVE LIQUID HEATER,"A liquid heater is described including a chamber for receiving a liquid, pairs of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of bridge arms connected in parallel to the input terminals, and a control unit for controlling switches of the bridge arms. The plurality of bridge arms include a respective bridge arm for each pair of electrodes and a common bridge arm, and each bridge arm includes a pair of switches and a node located between the switches. A first electrode of each pair of electrodes is connected to the node of the respective bridge arm, and a second electrode is connected to the node of the common bridge arm. The switches have a plurality of different states for selectively connecting pairs of electrodes to the input terminals in one of a plurality of electrode configurations, the electrodes having a different total electrical resistance in each electrode configuration.","RESISTIVE LIQUID HEATER A liquid heater is described including a chamber for receiving a liquid, pairs of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of bridge arms connected in parallel to the input terminals, and a control unit for controlling switches of the bridge arms. The plurality of bridge arms include a respective bridge arm for each pair of electrodes and a common bridge arm, and each bridge arm includes a pair of switches and a node located between the switches. A first electrode of each pair of electrodes is connected to the node of the respective bridge arm, and a second electrode is connected to the node of the common bridge arm. The switches have a plurality of different states for selectively connecting pairs of electrodes to the input terminals in one of a plurality of electrode configurations, the electrodes having a different total electrical resistance in each electrode configuration."
2023-0246434,PROTECTION CIRCUIT FOR AN ELECTRICAL APPLIANCE,"A protection circuit for an electric appliance that is configured to control power supply to an associated electrical component of the appliance such as a heating device, lamp or motor in the event that unsafe conditions are detected. The protection circuit includes a first comparator module configured to compare an operating parameter input signal to a threshold value and to output a first control signal to a first switching circuit configured to control power flow to the associated electrical component. The first comparator module is configured to receive an enable/disable signal from a first state-change latching device, which is responsive to a state change of the first control signal from the first comparator module, in response to which the state-change latching device changes the enable/disable signal from an enable state to a disable state thereby to set the first control signal into an off state.","PROTECTION CIRCUIT FOR AN ELECTRICAL APPLIANCE A protection circuit for an electric appliance that is configured to control power supply to an associated electrical component of the appliance such as a heating device, lamp or motor in the event that unsafe conditions are detected. The protection circuit includes a first comparator module configured to compare an operating parameter input signal to a threshold value and to output a first control signal to a first switching circuit configured to control power flow to the associated electrical component. The first comparator module is configured to receive an enable/disable signal from a first state-change latching device, which is responsive to a state change of the first control signal from the first comparator module, in response to which the state-change latching device changes the enable/disable signal from an enable state to a disable state thereby to set the first control signal into an off state."
2023-0220539,METHOD OF DEPOSITING A MATERIAL,"A method of manufacturing an electronic component including a substrate is provided. The method includes generating a plasma remote from a sputter target, generating sputtered material from the sputter target using the plasma, and depositing the sputtered material on a substrate as a crystalline layer.","METHOD OF DEPOSITING A MATERIAL A method of manufacturing an electronic component including a substrate is provided. The method includes generating a plasma remote from a sputter target, generating sputtered material from the sputter target using the plasma, and depositing the sputtered material on a substrate as a crystalline layer."
2023-0221037,RESISTIVE LIQUID HEATER,"A liquid heater is described including a chamber for receiving a liquid, a pair of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of bi-directional switches for connecting the electrodes to the input terminals, and a control unit for controlling the switches. The power supply supplies an alternating voltage having a frequency no greater than 60 Hz, and the control unit controls the switches such that the electrodes are energised with an alternating voltage having a frequency no less than 150 kHz.","RESISTIVE LIQUID HEATER A liquid heater is described including a chamber for receiving a liquid, a pair of electrodes located within the chamber for applying electric current to the liquid, input terminals for connection to a power supply, a plurality of bi-directional switches for connecting the electrodes to the input terminals, and a control unit for controlling the switches. The power supply supplies an alternating voltage having a frequency no greater than 60 Hz, and the control unit controls the switches such that the electrodes are energised with an alternating voltage having a frequency no less than 150 kHz."
2023-0201411,PHOTOCATALYTIC AIR TREATMENT,"There is provided a photocatalytic reactor including reaction chamber arranged to receive an airflow including one or more airborne contaminants. The reaction chamber includes a first inner surface, a second inner surface, a photo-catalyst for photocatalytic degradation of one or more of the contaminants disposed upon both the first inner surface and the second inner surface, and a light source arranged to illuminate at least a portion of the photo-catalyst disposed on the first inner surface and the second inner surface. The first inner surface and the second inner surface have distinct parabolic arc-shaped profiles and the profile of the first inner surface is a mirror image of the profile of the second inner surface. The first inner surface and the second inner surface may be consecutive.","PHOTOCATALYTIC AIR TREATMENT There is provided a photocatalytic reactor including reaction chamber arranged to receive an airflow including one or more airborne contaminants. The reaction chamber includes a first inner surface, a second inner surface, a photo-catalyst for photocatalytic degradation of one or more of the contaminants disposed upon both the first inner surface and the second inner surface, and a light source arranged to illuminate at least a portion of the photo-catalyst disposed on the first inner surface and the second inner surface. The first inner surface and the second inner surface have distinct parabolic arc-shaped profiles and the profile of the first inner surface is a mirror image of the profile of the second inner surface. The first inner surface and the second inner surface may be consecutive."
2023-0201756,PHOTOCATALYTIC AIR TREATMENT,"There is provided a photocatalytic reactor arranged to receive one or more airborne contaminants. The photocatalytic reactor includes a photo-catalyst for photocatalytic degradation of one or more of the contaminants disposed on a substrate, and a light-emitting diode circuit board comprising a circuit board with one or more first light-emitting diodes mounted to a first side of the circuit board and one or more second light-emitting diodes mounted to a second side of the circuit board. The substrate is arranged to be illuminated by both the one or more first light-emitting diodes and the one or more second light-emitting diodes in order to facilitate photocatalytic degradation.","PHOTOCATALYTIC AIR TREATMENT There is provided a photocatalytic reactor arranged to receive one or more airborne contaminants. The photocatalytic reactor includes a photo-catalyst for photocatalytic degradation of one or more of the contaminants disposed on a substrate, and a light-emitting diode circuit board comprising a circuit board with one or more first light-emitting diodes mounted to a first side of the circuit board and one or more second light-emitting diodes mounted to a second side of the circuit board. The substrate is arranged to be illuminated by both the one or more first light-emitting diodes and the one or more second light-emitting diodes in order to facilitate photocatalytic degradation."
