patent_id,title,top_keywords,top_keyword_scores,title_top_keywords
2024-0186581,ELECTROLYTE COMPOSITIONS,lithium; carbonate; lithium bis; bis; oxalato; borate; oxalato borate; imide; optionally; salt,0.2607; 0.2215; 0.2026; 0.2026; 0.1841; 0.1841; 0.1841; 0.1781; 0.1781; 0.1712,electrolyte compositions; electrolyte; compositions
2024-0188192,HEATER,block; ceramic; pcb; connector; connecting; heater; trace; connecting arm; arm; respect,0.3437; 0.3132; 0.2939; 0.2694; 0.2641; 0.2537; 0.2520; 0.2315; 0.1684; 0.1497,heater
2024-0154549,BRUSHLESS PERMANENT MAGNET MOTOR,vectors; voltage vectors; inverter; set; apply; voltage; phase winding; phase; phase winding electrical; winding electrical,0.3162; 0.3162; 0.2119; 0.2013; 0.2000; 0.1985; 0.1961; 0.1849; 0.1817; 0.1817,permanent; magnet motor; permanent magnet; brushless permanent; magnet; brushless; motor
2024-0138635,CLEANER HEAD,agitator element; agitator elements; position axis; agitator; element; cleaner head; axis end; horizontal; elements; head,0.2006; 0.1836; 0.1836; 0.1674; 0.1649; 0.1594; 0.1591; 0.1465; 0.1335; 0.1329,cleaner head; head; cleaner
2024-0138646,FLOOR CLEANER DOCK,floor cleaner; cleaning head; dock; removal; dock receiving; head floor; receiving unit; improve; floor; hair,0.2972; 0.2718; 0.2510; 0.2246; 0.2221; 0.2221; 0.2160; 0.2064; 0.1933; 0.1580,cleaner dock; dock; floor cleaner; floor; cleaner
2024-0122427,FILTER ARRANGEMENT FOR A VACUUM CLEANING APPLIANCE,actuation; retention; filter; cleaning appliance filter; appliance filter; filter filter; vacuum cleaning appliance; vacuum cleaning; position; opening,0.3454; 0.2827; 0.2576; 0.2502; 0.2375; 0.2142; 0.1748; 0.1605; 0.1570; 0.1565,arrangement; filter; vacuum cleaning; cleaning appliance; cleaning; vacuum; appliance
2024-0128903,METHOD OF CONTROLLING A THREE-PHASE PERMANENT-MAGNET MOTOR,magnitude phase; saturation; magnitude phase current; phase current; freewheeling; magnitude; start end; end freewheeling; start; phase,0.2181; 0.2181; 0.2181; 0.2003; 0.1979; 0.1761; 0.1760; 0.1760; 0.1656; 0.1574,permanent-magnet motor; permanent-magnet; controlling; motor
2024-0115027,HAIRCARE APPLIANCE,outlet curved surface; air outlet curved; outlet curved; hollow body; hollow; curved surface; path air inlet; flow path air; curved; path air,0.2129; 0.2129; 0.2129; 0.2083; 0.2052; 0.1912; 0.1681; 0.1681; 0.1592; 0.1581,haircare; haircare appliance; appliance
2024-0108114,ATTACHMENT FOR A HANDHELD APPLIANCE,hair engaging; casing; engaging; hair; casing position; engaging hair engaging; hair engaging hair; engaging hair; move relative; attachment casing,0.2945; 0.2235; 0.1982; 0.1781; 0.1528; 0.1528; 0.1528; 0.1478; 0.1478; 0.1478,attachment handheld; handheld appliance; handheld; attachment; appliance
2024-0108115,HAIRCARE APPLIANCE,curved surface; haircare appliance attachment; curved; haircare; haircare appliance; air outlet haircare; outlet haircare appliance; outlet haircare; downstream air outlet; adjacent downstream air,0.1892; 0.1627; 0.1575; 0.1552; 0.1552; 0.1466; 0.1466; 0.1466; 0.1418; 0.1418,haircare; haircare appliance; appliance
2024-0108920,WEARABLE AIR PURIFICATION SYSTEM,air delivery; delivery; delivery region; air delivery region; wearable; user head; purification wearable; air purification wearable; wearable support; air purification,0.2333; 0.1929; 0.1877; 0.1877; 0.1819; 0.1743; 0.1701; 0.1701; 0.1665; 0.1556,purification; air purification; wearable air; wearable; air
2024-0108921,WEARABLE AIR PURIFIER,air delivery; wearable; supports; air delivery mask; delivery mask; mask; delivery; wearable air; air; flow air,0.2973; 0.2966; 0.2666; 0.2614; 0.2614; 0.2582; 0.2458; 0.1823; 0.1579; 0.1494,wearable air; wearable; purifier; air purifier; air
2024-0099441,HAIRCARE APPLIANCE,curved surface; haircare appliance attachment; curved; haircare; haircare appliance; air outlet haircare; outlet haircare appliance; outlet haircare; downstream air outlet; adjacent downstream air,0.1892; 0.1627; 0.1575; 0.1552; 0.1552; 0.1466; 0.1466; 0.1466; 0.1418; 0.1418,haircare; haircare appliance; appliance
2024-0099537,FLOOR CLEANER DOCK,floor cleaner; dock; receiving unit; liquid; floor; reservoir; received receiving; spray; received receiving unit; cleaner reservoir containing,0.3043; 0.2809; 0.2418; 0.2028; 0.1979; 0.1915; 0.1518; 0.1518; 0.1518; 0.1518,cleaner dock; dock; floor cleaner; floor; cleaner
2024-0090716,VACUUM CLEANER,cleaning tool; suction unit; dirt separator; tool cleaning; tool; separator dirt separator; separator dirt; dirt separator dirt; attachable; dirt,0.3546; 0.3223; 0.2477; 0.2388; 0.2327; 0.2253; 0.2217; 0.2217; 0.2052; 0.2041,vacuum cleaner; vacuum; cleaner
2024-0090725,AUTONOMOUS SURFACE TREATMENT APPARATUS,cleaning assembly; displacement; front surface; forward; detect; sensors; sensors arranged; chassis; autonomous surface; surface cleaning,0.2866; 0.2383; 0.2305; 0.2162; 0.1948; 0.1860; 0.1860; 0.1746; 0.1695; 0.1639,surface treatment; autonomous surface; autonomous; treatment; surface
2024-0090728,VACUUM CLEANER BATTERY UNIT,battery cells; battery; cells; cells battery; cleaner battery; vacuum cleaner battery; operatively; coupled; axis vacuum; axis vacuum cleaner,0.3737; 0.3364; 0.3083; 0.2741; 0.2652; 0.2652; 0.2517; 0.1936; 0.1619; 0.1619,cleaner battery; battery; vacuum cleaner; vacuum; cleaner
2024-0093923,VALVE,flow paths; paths; heat exchanger; three; exchanger; refrigerant; heat; having input; ports; input output,0.3206; 0.2945; 0.2500; 0.2500; 0.2500; 0.2495; 0.2129; 0.2080; 0.2013; 0.2013,valve
2024-0081505,HAIRCARE APPLIANCE,surface adjacent; flat; rearwardly; outlet haircare appliance; outlet haircare; air outlet haircare; haircare; haircare appliance; downstream air outlet; adjacent downstream air,0.2315; 0.1866; 0.1822; 0.1749; 0.1749; 0.1749; 0.1692; 0.1692; 0.1691; 0.1691,haircare; haircare appliance; appliance
2024-0081506,HAIRCARE APPLIANCE,curved surface; haircare appliance attachment; curved; haircare; haircare appliance; air outlet haircare; outlet haircare appliance; outlet haircare; downstream air outlet; adjacent downstream air,0.1892; 0.1627; 0.1575; 0.1552; 0.1552; 0.1466; 0.1466; 0.1466; 0.1418; 0.1418,haircare; haircare appliance; appliance
2024-0081591,AUTONOMOUS SURFACE TREATMENT APPARATUS,blade; resilient; cleaning assembly; body cleaning assembly; suction nozzle; suction chamber suction; chamber suction; suction channel; suction; autonomous surface,0.2649; 0.2409; 0.2143; 0.1787; 0.1748; 0.1641; 0.1641; 0.1641; 0.1592; 0.1576,surface treatment; autonomous surface; autonomous; treatment; surface
2024-0081600,AUTONOMOUS SURFACE TREATMENT APPARATUS,cleaning assembly; front surface; surface cleaning; disposed front; surface cleaning assembly; proximity; forward; front; autonomous surface; sensor disposed,0.2871; 0.2543; 0.2241; 0.2114; 0.2045; 0.2045; 0.1918; 0.1885; 0.1864; 0.1705,surface treatment; autonomous surface; autonomous; treatment; surface
2024-0065404,HAIRCARE APPLIANCE,movable; partially defined; aperture; haircare; haircare appliance; defined; causes movement; movable movable; partially; inlet air outlet,0.2709; 0.2588; 0.1862; 0.1706; 0.1706; 0.1680; 0.1664; 0.1664; 0.1614; 0.1578,haircare; haircare appliance; appliance
2024-0065407,HAIRCARE APPLIANCE,airflow aperture; fixed; aperture; rotatable; aperture located side; permits airflow; rotatable rotatable; aperture located; located side; permits,0.2695; 0.2384; 0.2215; 0.2124; 0.2032; 0.2032; 0.1966; 0.1966; 0.1912; 0.1641,haircare; haircare appliance; appliance
2024-0065408,HAIRCARE APPLIANCE,hair treatment chamber; treatment chamber; hair treatment; treatment; hair; chamber; aperture; haircare appliance; haircare; wall opening,0.2468; 0.2468; 0.2425; 0.1777; 0.1599; 0.1318; 0.1312; 0.1202; 0.1202; 0.1173,haircare; haircare appliance; appliance
2024-0065409,HAIRCARE APPLIANCE,hair treatment chamber; treatment chamber; hair treatment; extent; rim; treatment; moveable; hair; chamber; haircare appliance,0.2464; 0.2464; 0.2421; 0.2129; 0.2129; 0.1774; 0.1711; 0.1596; 0.1316; 0.1200,haircare; haircare appliance; appliance
2024-0065410,HAIRCARE APPLIANCE,airflow aperture; haircare; haircare appliance; aperture; aperture located side; aperture located; located side; engagement; decreases; side,0.2903; 0.2410; 0.2410; 0.2385; 0.2189; 0.2118; 0.2059; 0.2010; 0.1897; 0.1877,haircare; haircare appliance; appliance
2024-0065411,HAIR STYLING APPLIANCE,control unit; modes; unit; heating; having different; unit having; styling appliance; sequence; styling; different,0.2726; 0.2541; 0.2186; 0.2126; 0.2100; 0.2050; 0.1982; 0.1968; 0.1749; 0.1668,styling appliance; hair styling; styling; hair; appliance
2024-0065509,AUTONOMOUS SURFACE TREATMENT APPARATUS,receptacle; autonomous surface; surface cleaning; disposed front; cleaning assembly; front surface; autonomous surface cleaning; autonomous; front; disposed,0.2424; 0.2238; 0.2164; 0.2048; 0.1981; 0.1981; 0.1981; 0.1876; 0.1543; 0.1417,surface treatment; autonomous surface; autonomous; treatment; surface
2024-0066333,HEAD WEARABLE AIR PURIFIER,ear; head wearable air; head wearable; air purifier; purifier; filtered airflow downstream; airflow downstream filter; filter assembly; airflow downstream; filtered airflow,0.1930; 0.1622; 0.1601; 0.1552; 0.1552; 0.1529; 0.1529; 0.1488; 0.1487; 0.1485,head wearable; wearable air; purifier; wearable; air purifier; air; head
2024-0066335,STORAGE CASE FOR A PORTABLE DEVICE,portable; case; predetermined position; storage; docking; light; light source; predetermined; holding part; source,0.3834; 0.2961; 0.2549; 0.2296; 0.2074; 0.2049; 0.1901; 0.1831; 0.1600; 0.1591,portable; storage
2024-0069554,COLLISION DETECTION SYSTEM FOR A MOBILE ROBOT,detection; parts; mobile robot; mobile; mass; body part; chassis; robot; mobile robot body; sensors sense,0.2888; 0.2704; 0.2674; 0.2619; 0.2572; 0.2572; 0.2483; 0.2445; 0.1614; 0.1562,detection; mobile robot; mobile; robot
2024-0072700,METHOD OF CONTROLLING A BRUSHLESS PERMANENT MAGNET MOTOR,phase current flowing; phase; current flowing phase; current flowing; phase current; flowing phase winding; flowing phase; flowing; windings; phase winding,0.2468; 0.2433; 0.2322; 0.2322; 0.2266; 0.2266; 0.2266; 0.2073; 0.1920; 0.1889,permanent; permanent magnet; brushless permanent; magnet motor; controlling brushless; magnet; controlling; brushless; motor
2024-0057738,HAIR STYLING APPLIANCE,modes; control unit; unit; heating; mode; sequence; hair styling appliance; styling appliance; airflow; hair styling,0.2939; 0.2773; 0.2466; 0.2459; 0.2310; 0.2277; 0.1863; 0.1850; 0.1725; 0.1647,styling appliance; hair styling; styling; hair; appliance
2024-0057838,FLOOR CLEANER DOCK,floor cleaner; dock; liquid; floor; reservoir; cleaner; feed; cleaner reservoir; dock floor; dock floor cleaner,0.3684; 0.3426; 0.2804; 0.2397; 0.1879; 0.1608; 0.1489; 0.1489; 0.1489; 0.1489,cleaner dock; dock; floor cleaner; floor; cleaner
2024-0049859,HAIRCARE APPLIANCE,treatment chamber; hair treatment chamber; hair treatment; orientation; relative housing; treatment; outlet airflow generator; air outlet airflow; outlet airflow; hair,0.2427; 0.2427; 0.2385; 0.2353; 0.1997; 0.1748; 0.1700; 0.1641; 0.1569; 0.1529,haircare; haircare appliance; appliance
2024-0049860,HAIRCARE APPLIANCE,airflow aperture; rotatable rotatable; fixed; rotatable; aperture; permits airflow; aperture located side; aperture located; located side; permits,0.2681; 0.2424; 0.2371; 0.2208; 0.2203; 0.2021; 0.2021; 0.1956; 0.1902; 0.1632,haircare; haircare appliance; appliance
2024-0050193,ORAL TREATMENT DEVICE,oral; oral treatment; image; oral cavity; treatment; image data; treatment controller; oral treatment controller; location; cavity,0.2462; 0.2351; 0.1742; 0.1719; 0.1660; 0.1596; 0.1525; 0.1525; 0.1287; 0.1258,oral treatment; oral; treatment
2024-0050212,ORAL TREATMENT DEVICE,oral; oral treatment; oral cavity; classification; movement head; zones; classification data; cavity; treatment; trained,0.2555; 0.2211; 0.2151; 0.2116; 0.1596; 0.1596; 0.1596; 0.1574; 0.1561; 0.1544,oral treatment; oral; treatment
2024-0050213,ORAL TREATMENT DEVICE,oral treatment; oral; classification; treatment; movement oral; movement oral treatment; classification data; classification algorithm; imu; algorithm,0.2609; 0.2421; 0.2212; 0.1842; 0.1668; 0.1668; 0.1668; 0.1569; 0.1569; 0.1569,oral treatment; oral; treatment
2024-0050777,WEARABLE AIR PURIFIER,air delivery; mask; delivery; illumination; air delivery mask; delivery mask; wearable; wearable support; air purifier; purifier,0.1856; 0.1676; 0.1535; 0.1512; 0.1493; 0.1493; 0.1447; 0.1324; 0.1273; 0.1273,wearable air; wearable; purifier; air purifier; air
2024-0050778,WEARABLE AIR PURIFIER,air delivery; illumination; air delivery region; delivery region; delivery; mask; illumination source; wearable; region; delivery region air,0.1959; 0.1697; 0.1675; 0.1675; 0.1620; 0.1455; 0.1454; 0.1428; 0.1362; 0.1335,wearable air; wearable; purifier; air purifier; air
2024-0050779,WEARABLE AIR PURIFIER,earpiece; air delivery; delivery; air filter; air delivery region; air delivery mask; delivery region; delivery mask; mask; air channel,0.2508; 0.2050; 0.1695; 0.1663; 0.1541; 0.1541; 0.1541; 0.1541; 0.1522; 0.1472,wearable air; wearable; purifier; air purifier; air
2024-0050780,HEAD WEARABLE AIR PURIFIER,head wearable air; head wearable; filter assembly; light; wearable air purifier; wearable air; wearable; air purifier; purifier; filter,0.1928; 0.1903; 0.1769; 0.1767; 0.1668; 0.1644; 0.1623; 0.1623; 0.1623; 0.1352,head wearable; wearable air; purifier; wearable; air purifier; air; head
2024-0050781,WEARABLE AIR PURIFIER,air delivery; delivery; delivery mask; air delivery mask; mask; air channel; support assembly; air filter; air delivery region; delivery region,0.1969; 0.1628; 0.1583; 0.1583; 0.1564; 0.1512; 0.1409; 0.1378; 0.1277; 0.1277,wearable air; wearable; purifier; air purifier; air
2024-0050782,WEARABLE AIR PURIFIER,air delivery; delivery; illumination; delivery mask; air delivery mask; mask; illumination source; wearable; wearable support; air delivery region,0.1876; 0.1551; 0.1529; 0.1509; 0.1509; 0.1491; 0.1489; 0.1463; 0.1339; 0.1218,wearable air; wearable; purifier; air purifier; air
2024-0050783,WEARABLE AIR PURIFIER,earpiece; air delivery; air channel; delivery; ear user; arranged engage; air filter; ear; engage; delivery region,0.2209; 0.1806; 0.1516; 0.1493; 0.1475; 0.1475; 0.1382; 0.1358; 0.1281; 0.1281,wearable air; wearable; purifier; air purifier; air
2024-0050785,WEARABLE AIR PURIFICATION SYSTEM,left; right; air delivery; wearable support; wearable; delivery; air delivery region; delivery region; side; supported head,0.2541; 0.2541; 0.2114; 0.1870; 0.1803; 0.1748; 0.1700; 0.1700; 0.1698; 0.1678,purification; air purification; wearable air; wearable; air
2024-0055576,ELECTRODES FOR BATTERIES,electrode; collector surface; current collector surface; current collector; elements; collector; electrode precursor; precursor; spacing; element,0.2936; 0.2815; 0.2815; 0.2689; 0.2328; 0.2294; 0.2198; 0.2086; 0.1908; 0.1866,batteries
2024-0055578,ELECTRODE STRUCTURE AND METHOD OF MAKING AN ELECTRODE STRUCTURE,collector surface; current collector surface; current collector; electrode; collector; interlayer; structure; current; layer; making electrode,0.3171; 0.3171; 0.3028; 0.2717; 0.2583; 0.2558; 0.2405; 0.1884; 0.1664; 0.1511,electrode structure; structure; electrode; structure making; making electrode; making
2024-0041196,ORAL TREATMENT DEVICE,oral treatment; oral; treatment; movement oral treatment; movement oral; imu; position movement; treatment oral treatment; oral treatment oral; treatment oral,0.2568; 0.2514; 0.1814; 0.1732; 0.1732; 0.1630; 0.1630; 0.1557; 0.1557; 0.1501,oral treatment; oral; treatment
2024-0041283,CLEANER HEAD FOR A VACUUM CLEANER,agitator; within housing; head vacuum cleaner; cleaner head; cleaner head vacuum; head vacuum; agitator conical; shape end; agitator conical shape; within housing agitator,0.2021; 0.2021; 0.1863; 0.1800; 0.1785; 0.1726; 0.1628; 0.1628; 0.1628; 0.1628,cleaner; head vacuum; cleaner head; head; vacuum cleaner; vacuum
2024-0041289,FLOOR CLEANER DOCK,dock; floor cleaner; mobile; floor; follows; conveniently; unit receiving floor; receiving unit; receiving floor cleaner; unit receiving,0.4273; 0.4070; 0.2657; 0.2647; 0.1964; 0.1964; 0.1964; 0.1910; 0.1910; 0.1910,cleaner dock; dock; floor cleaner; floor; cleaner
2024-0041570,ORAL TREATMENT DEVICE,oral treatment; oral; interproximal; trained; image; image data; treatment; data; generated image data; generated image,0.2344; 0.2258; 0.1857; 0.1797; 0.1749; 0.1747; 0.1730; 0.1631; 0.1498; 0.1498,oral treatment; oral; treatment
2024-0041571,ORAL TREATMENT DEVICE,oral; oral treatment; image; treatment; image data; cavity user; oral cavity user; oral cavity; parameter; indicative,0.2547; 0.2541; 0.1883; 0.1795; 0.1726; 0.1519; 0.1519; 0.1499; 0.1355; 0.1345,oral treatment; oral; treatment
2024-0041572,ORAL TREATMENT DEVICE,oral; oral treatment; interproximal; image; oral cavity user; cavity user; oral cavity; interproximal gap; cavity user controller; user controller,0.2370; 0.2162; 0.2115; 0.1752; 0.1752; 0.1752; 0.1729; 0.1707; 0.1707; 0.1707,oral treatment; oral; treatment
2024-0042249,WEARABLE AIR PURIFIER,wearable support; air delivery; wearable; air delivery mask; delivery mask; mask; delivery; support air delivery; support air; wearable air,0.2578; 0.2473; 0.2289; 0.2191; 0.2191; 0.2164; 0.2045; 0.1739; 0.1739; 0.1523,wearable air; wearable; purifier; air purifier; air
2024-0047729,APPARATUS FOR MAKING AN ELECTRODE-ELECTROLYTE STRUCTURE,substrate; electrolyte; electrode; gel; making; structure; structure making; electrolyte electrode; junction; along,0.4318; 0.3858; 0.2907; 0.2878; 0.2527; 0.2428; 0.1891; 0.1891; 0.1891; 0.1861,structure; making
2024-0033672,FILTER TEST DEVICE FOR A PORTABLE AIR PURIFIER,air channel; portable; sensor; condition; air filter; channel; purifier; air purifier; filter; air,0.3847; 0.3652; 0.3073; 0.3018; 0.2829; 0.2809; 0.2771; 0.2771; 0.2309; 0.1890,portable; filter; air purifier; purifier; air
2024-0035483,FAN ASSEMBLY,air outlets arranged; arranged emit air; emit air flow; emit air; flow fan assembly; outlets arranged; air flow fan; flow fan; arranged emit; nozzle body,0.2076; 0.2026; 0.2026; 0.1945; 0.1945; 0.1803; 0.1741; 0.1741; 0.1705; 0.1705,fan assembly; fan; assembly
2024-0024817,USE OF CATALYST AND METHOD OF REMOVING ALDEHYDES,removing; oxide; carrier; longer; regenerating; effective; particularly; fluid; provided,0.4874; 0.4787; 0.4159; 0.3005; 0.3005; 0.2701; 0.2185; 0.2131; 0.1164,removing
2024-0026891,FAN ASSEMBLY,oscillation; controller arranged; relative base; air outlet arranged; outlet arranged; fan assembly; base; fan; air outlet; arranged,0.2573; 0.2032; 0.1898; 0.1898; 0.1847; 0.1766; 0.1559; 0.1480; 0.1398; 0.1382,fan assembly; fan; assembly
2024-0016964,FLOOR CLEANER DOCK,floor cleaner; dock; floor; liquid; dock receiving; floor cleaner dock; receiving floor; receiving unit; receiving floor cleaner; cleaner dock,0.3439; 0.3060; 0.2237; 0.2202; 0.2178; 0.2118; 0.2118; 0.2118; 0.2118; 0.2068,cleaner dock; dock; floor cleaner; floor; cleaner
2024-0008616,HAIRSTYLING DEVICE,hairstyling; tress; end tress; sensor output; hair contact; tress end; tress end tress; hair-contactable; hair-contactable surface; contact,0.2368; 0.2244; 0.2214; 0.1947; 0.1919; 0.1571; 0.1571; 0.1520; 0.1520; 0.1463,hairstyling
2024-0008618,ATTACHMENT FOR A HAIRCARE APPLIANCE,airflow discharged; position airflow; discharged; members; attachment; haircare appliance attachment; outlets; appliance attachment; position; haircare appliance,0.3062; 0.2618; 0.2551; 0.2447; 0.2264; 0.2250; 0.2203; 0.1810; 0.1731; 0.1726,attachment haircare; attachment; haircare; haircare appliance; appliance
2024-0011494,FAN,axial; axial direction; expelled; having air outlet; velocity; fan; direction; nozzle having; frequency; air outlet airflow,0.4268; 0.3906; 0.2618; 0.2546; 0.2546; 0.2413; 0.2351; 0.2241; 0.2159; 0.1999,fan
2024-0015856,HEATER ASSEMBLY,heater element; cut-outs; sheet; air flow path; heater; having electrical; defined cut-outs; electrical path; sheet air; extending cut-outs,0.2032; 0.1975; 0.1615; 0.1505; 0.1488; 0.1401; 0.1401; 0.1401; 0.1401; 0.1401,heater assembly; heater; assembly
2024-0000276,ROBOTIC VACUUM CLEANING SYSTEM,handheld vacuum; handheld vacuum cleaner; robotic unit; docking interface; robotic; handheld; interface; docking; port; vacuum,0.2694; 0.2553; 0.2368; 0.2241; 0.2185; 0.2127; 0.1980; 0.1773; 0.1475; 0.1311,robotic vacuum; robotic; vacuum cleaning; cleaning; vacuum
2024-0001172,WEARABLE AIR PURIFIER,wearable support; air delivery; wearable; delivery; air delivery mask; delivery mask; mask; support air; support air delivery; earpiece,0.2266; 0.2253; 0.2055; 0.1863; 0.1812; 0.1812; 0.1790; 0.1788; 0.1788; 0.1788,wearable air; wearable; purifier; air purifier; air
2024-0006592,ELECTRODE STRUCTURE AND METHOD OF MAKING AN ELECTRODE STRUCTURE,current collector surface; collector surface; current collector; electrode; structure; collector; interlayer; current; layer; having current,0.3049; 0.3049; 0.2912; 0.2757; 0.2630; 0.2484; 0.2460; 0.1812; 0.1601; 0.1453,electrode structure; structure; electrode; structure making; making electrode; making
2024-0006997,BUCK-BOOST CONVERTER,group; devices; node; switch switch; switch; terminals; input terminals; diode; terminals connected; capacitor,0.3623; 0.3224; 0.3160; 0.2701; 0.2529; 0.2414; 0.1995; 0.1916; 0.1916; 0.1760,converter
2024-0007096,GATE DRIVER,driver; voltage current; polarity; outputs; switches; signals; voltage; input receiving; driving; condition,0.4456; 0.3443; 0.3162; 0.3036; 0.2635; 0.2369; 0.2068; 0.2033; 0.2007; 0.1913,
2023-0413969,HAIRCARE APPLIANCE,hair treatment chamber; treatment chamber; hair treatment; infrared; treatment; hair; chamber; haircare appliance; haircare; radiation hair,0.2845; 0.2845; 0.2796; 0.2289; 0.2049; 0.1576; 0.1520; 0.1386; 0.1386; 0.1352,haircare; haircare appliance; appliance
2023-0413974,HAIRCARE APPLIANCE,operating mode; flow rate; mode; rate; airflow generator; operating; generates airflow; generator; signal; haircare,0.2988; 0.2317; 0.2157; 0.2148; 0.2105; 0.2083; 0.1995; 0.1976; 0.1847; 0.1809,haircare; haircare appliance; appliance
2023-0414051,ROBOTIC SURFACE TREATING SYSTEM,arm section; lower arm; arm; upper arm; lower arm section; upper arm section; joint; elbow joint; elbow; upper,0.2401; 0.2035; 0.1896; 0.1861; 0.1861; 0.1861; 0.1643; 0.1636; 0.1540; 0.1458,robotic surface; robotic; treating; surface treating; surface
2023-0421085,DRIVE CIRCUIT FOR A BRUSHLESS MOTOR,converter; drive circuit; phase winding; phase; drive circuit brushless; circuit brushless motor; circuit brushless; configuration; winding; controller,0.2898; 0.2427; 0.2300; 0.2169; 0.2132; 0.2132; 0.2132; 0.1945; 0.1791; 0.1716,circuit brushless; drive circuit; circuit; drive; brushless motor; brushless; motor
2023-0404236,HANDHELD APPLIANCE,end end; handheld appliance; end; handheld; main body main; having main; body main; body main body; having main body; supported around,0.2756; 0.2473; 0.2319; 0.2113; 0.1908; 0.1908; 0.1908; 0.1908; 0.1908; 0.1908,handheld appliance; handheld; appliance
2023-0404237,HAIRCARE APPLIANCE,hair treatment chamber; treatment chamber; hair treatment; emitter; radiation; treatment; haircare appliance; haircare; hair; radiation hair,0.2613; 0.2613; 0.2568; 0.2313; 0.2038; 0.1881; 0.1447; 0.1447; 0.1447; 0.1412,haircare; haircare appliance; appliance
2023-0404238,HAIRCARE APPLIANCE,infrared; hair treatment chamber; treatment chamber; hair treatment; emitter emit; emitter; radiation; treatment; emit; haircare appliance,0.3067; 0.2379; 0.2379; 0.2337; 0.2176; 0.2106; 0.1856; 0.1713; 0.1517; 0.1318,haircare; haircare appliance; appliance
2023-0404338,ROBOTIC VACUUM CLEANING SYSTEM,handheld vacuum cleaner; handheld vacuum; docking interface; docked docking interface; docked docking; docked; robotic unit; docking; handheld; robotic,0.2143; 0.2143; 0.2140; 0.1945; 0.1882; 0.1749; 0.1749; 0.1693; 0.1692; 0.1677,robotic vacuum; robotic; vacuum cleaning; cleaning; vacuum
2023-0404339,ROBOTIC SURFACE TREATING SYSTEM,docking interface; docking; interface; suction flow; suction flow path; suction tool; docked docking interface; docked docking; robotic; effector,0.2435; 0.1927; 0.1892; 0.1786; 0.1786; 0.1786; 0.1786; 0.1728; 0.1679; 0.1640,robotic surface; robotic; treating; surface treating; surface
2023-0404340,ROBOTIC VACUUM CLEANING SYSTEM,docking interface; docking; interface; docked docking interface; suction flow; suction flow path; suction tool; docked docking; robotic; effector,0.2437; 0.1928; 0.1893; 0.1787; 0.1787; 0.1787; 0.1787; 0.1729; 0.1680; 0.1641,robotic vacuum; robotic; vacuum cleaning; cleaning; vacuum
2023-0404341,ROBOTIC SURFACE TREATING SYSTEM,arm section; upper arm; lower arm; upper arm section; lower arm section; arm; articulated arm; articulated; section; upper,0.2495; 0.1934; 0.1934; 0.1934; 0.1934; 0.1887; 0.1819; 0.1649; 0.1487; 0.1385,robotic surface; robotic; treating; surface treating; surface
2023-0411621,COMPOSITE CATHODE MATERIAL,cathode material; cathode; composite; gel; polymer; material; particles; electrolyte; material arranged; arranged,0.4978; 0.3878; 0.3631; 0.3374; 0.2995; 0.2817; 0.2670; 0.2599; 0.2036; 0.0822,cathode material; cathode; material
2023-0411701,ELECTROCHEMICAL CELL,layer; anode layer; electrochemical; cathode layer; polymer; ceramic; electrochemical cell; anode; electrolyte layer; layer anode layer,0.2614; 0.2288; 0.2173; 0.2172; 0.2146; 0.2086; 0.2059; 0.2017; 0.1933; 0.1908,electrochemical cell; electrochemical; cell
2023-0413387,HEATER MODULE,heater; temperature sensor; coupled; temperature; module; heater temperature; sensor; heater assembly heater; thermally; assembly heater,0.4347; 0.3883; 0.3051; 0.3031; 0.3011; 0.2551; 0.2509; 0.2400; 0.2343; 0.2293,module; heater module; heater
2023-0413388,HEATER MODULE INCLUDING A THICK FILM HEATING ELEMENT,conductor; heating element; heating; heating element heating; element heating; temperature sensor; module; heater; element; temperature,0.3828; 0.3171; 0.2942; 0.2837; 0.2837; 0.2776; 0.2668; 0.2337; 0.2232; 0.2167,heating element; film; heater module; module; element; heating; heater
2023-0397705,HAIRCARE APPLIANCE,temperature; sensor sensing; distance; temperature sensor; module; haircare; haircare appliance; moisture; sensor; sensing,0.2400; 0.1952; 0.1916; 0.1865; 0.1792; 0.1770; 0.1770; 0.1718; 0.1698; 0.1637,haircare; haircare appliance; appliance
2023-0397706,HAIRCARE APPLIANCE,location; location determination; location determination module; determination module; heat; determination; target; module; haircare; haircare appliance,0.3180; 0.2975; 0.2975; 0.2879; 0.2603; 0.2578; 0.2148; 0.2074; 0.1801; 0.1801,haircare; haircare appliance; appliance
2023-0397786,ROBOTIC SURFACE TREATING SYSTEM,arm section; lower arm; arm; upper arm; upper arm section; lower arm section; elbow joint; elbow; articulated arm; joint,0.2280; 0.2131; 0.1902; 0.1714; 0.1714; 0.1714; 0.1714; 0.1613; 0.1613; 0.1574,robotic surface; robotic; treating; surface treating; surface
2023-0389671,HAIRCARE APPLIANCE,proximal; haircare; moisture; sensors; estimate based; estimate; reading; hair; level; indicative,0.3876; 0.3844; 0.3412; 0.3217; 0.2433; 0.2354; 0.2289; 0.2012; 0.1862; 0.1783,haircare; haircare appliance; appliance
